tf	target_gene_counts
ensg:ENSG00000172216	18366
ensg:ENSG00000129514	18356
ensg:ENSG00000169083	18277
ensg:ENSG00000091831	18184
ensg:ENSG00000136997	18167
ensg:ENSG00000108654	18149
ensg:ENSG00000141867	18139
ensg:ENSG00000066336	18100
ensg:ENSG00000100393	18045
ensg:ENSG00000102974	18022
ensg:ENSG00000125798	17981
ensg:ENSG00000127616	17936
ensg:ENSG00000159216	17930
ensg:ENSG00000125952	17872
ensg:ENSG00000164754	17799
ensg:ENSG00000157554	17698
ensg:ENSG00000130726	17697
ensg:ENSG00000113580	17493
ensg:ENSG00000072501	17485
ensg:ENSG00000173039	17396
ensg:ENSG00000130522	17294
ensg:ENSG00000177606	17286
ensg:ENSG00000173473	17181
ensg:ENSG00000168769	17153
ensg:ENSG00000179348	17132
ensg:ENSG00000168610	17041
ensg:ENSG00000188612	17029
ensg:ENSG00000102145	16983
ensg:ENSG00000107485	16981
ensg:ENSG00000118260	16955
ensg:ENSG00000185591	16906
ensg:ENSG00000197905	16892
ensg:ENSG00000100811	16889
ensg:ENSG00000117139	16882
ensg:ENSG00000141510	16862
ensg:ENSG00000004487	16853
ensg:ENSG00000125686	16838
ensg:ENSG00000106462	16803
ensg:ENSG00000087510	16783
ensg:ENSG00000285827	16728
ensg:ENSG00000162772	16713
ensg:ENSG00000100644	16696
ensg:ENSG00000121060	16635
ensg:ENSG00000114861	16624
ensg:ENSG00000245848	16604
ensg:ENSG00000140262	16601
ensg:ENSG00000183337	16594
ensg:ENSG00000082175	16551
ensg:ENSG00000134323	16499
ensg:ENSG00000084093	16479
ensg:ENSG00000151702	16479
ensg:ENSG00000196591	16454
ensg:ENSG00000134954	16422
ensg:ENSG00000119707	16372
ensg:ENSG00000204256	16337
ensg:ENSG00000185551	16327
ensg:ENSG00000170345	16275
ensg:ENSG00000174720	16242
ensg:ENSG00000162367	16222
ensg:ENSG00000124813	16176
ensg:ENSG00000166478	16113
ensg:ENSG00000116478	16106
ensg:ENSG00000120690	16100
ensg:ENSG00000116560	16059
ensg:ENSG00000108055	16057
ensg:ENSG00000159184	16029
ensg:ENSG00000115415	16017
ensg:ENSG00000169375	15996
ensg:ENSG00000198911	15953
ensg:ENSG00000100888	15920
ensg:ENSG00000005339	15888
ensg:ENSG00000089094	15882
ensg:ENSG00000187098	15818
ensg:ENSG00000158773	15800
ensg:ENSG00000112658	15796
ensg:ENSG00000019549	15764
ensg:ENSG00000071564	15762
ensg:ENSG00000117713	15749
ensg:ENSG00000132964	15737
ensg:ENSG00000137693	15702
ensg:ENSG00000154727	15630
ensg:ENSG00000118007	15629
ensg:ENSG00000136807	15596
ensg:ENSG00000168214	15565
ensg:ENSG00000103495	15531
ensg:ENSG00000143437	15478
ensg:ENSG00000122565	15459
ensg:ENSG00000169016	15440
ensg:ENSG00000120738	15423
ensg:ENSG00000196363	15397
ensg:ENSG00000141380	15371
ensg:ENSG00000067369	15361
ensg:ENSG00000136574	15348
ensg:ENSG00000112592	15332
ensg:ENSG00000005889	15318
ensg:ENSG00000165588	15309
ensg:ENSG00000090447	15307
ensg:ENSG00000075426	15210
ensg:ENSG00000166164	15207
ensg:ENSG00000101412	15205
ensg:ENSG00000089902	15197
ensg:ENSG00000141905	15169
ensg:ENSG00000119547	15147
ensg:ENSG00000186834	15129
ensg:ENSG00000124092	15120
ensg:ENSG00000119950	15068
ensg:ENSG00000178951	15065
ensg:ENSG00000105610	15012
ensg:ENSG00000028310	14976
ensg:ENSG00000137265	14974
ensg:ENSG00000196235	14969
ensg:ENSG00000123405	14935
ensg:ENSG00000066135	14932
ensg:ENSG00000166949	14871
ensg:ENSG00000173805	14871
ensg:ENSG00000143190	14822
ensg:ENSG00000111276	14803
ensg:ENSG00000148737	14765
ensg:ENSG00000150347	14727
ensg:ENSG00000136352	14692
ensg:ENSG00000183770	14632
ensg:ENSG00000113916	14602
ensg:ENSG00000125347	14576
ensg:ENSG00000198793	14552
ensg:ENSG00000167548	14513
ensg:ENSG00000067955	14495
ensg:ENSG00000148400	14465
ensg:ENSG00000169925	14458
ensg:ENSG00000121481	14436
ensg:ENSG00000187555	14423
ensg:ENSG00000178764	14383
ensg:ENSG00000117222	14337
ensg:ENSG00000133884	14328
ensg:ENSG00000173120	14306
ensg:ENSG00000160741	14262
ensg:ENSG00000204859	14093
ensg:ENSG00000196628	14080
ensg:ENSG00000115289	14065
ensg:ENSG00000136826	14058
ensg:ENSG00000167081	14045
ensg:ENSG00000020633	14010
ensg:ENSG00000189079	13948
ensg:ENSG00000118513	13919
ensg:ENSG00000099956	13899
ensg:ENSG00000134107	13886
ensg:ENSG00000196092	13874
ensg:ENSG00000170365	13869
ensg:ENSG00000165804	13866
ensg:ENSG00000079246	13860
ensg:ENSG00000204356	13842
ensg:ENSG00000129152	13823
ensg:ENSG00000071655	13793
ensg:ENSG00000106546	13780
ensg:ENSG00000164190	13775
ensg:ENSG00000162992	13769
ensg:ENSG00000132170	13742
ensg:ENSG00000160789	13713
ensg:ENSG00000102978	13705
ensg:ENSG00000100320	13702
ensg:ENSG00000122779	13687
ensg:ENSG00000140332	13673
ensg:ENSG00000198517	13633
ensg:ENSG00000073861	13626
ensg:ENSG00000175592	13591
ensg:ENSG00000279765	13502
ensg:ENSG00000130844	13484
ensg:ENSG00000172943	13446
ensg:ENSG00000185630	13369
ensg:ENSG00000006194	13355
ensg:ENSG00000133794	13354
ensg:ENSG00000175745	13340
ensg:ENSG00000115966	13296
ensg:ENSG00000102054	13280
ensg:ENSG00000166446	13274
ensg:ENSG00000136931	13235
ensg:ENSG00000164330	13199
ensg:ENSG00000081059	13182
ensg:ENSG00000111206	13177
ensg:ENSG00000164683	13168
ensg:ENSG00000105717	13142
ensg:ENSG00000140464	13135
ensg:ENSG00000064102	13070
ensg:ENSG00000157933	13044
ensg:ENSG00000114115	12994
ensg:ENSG00000150907	12964
ensg:ENSG00000106459	12959
ensg:ENSG00000175097	12941
ensg:ENSG00000143889	12933
ensg:ENSG00000126351	12913
ensg:ENSG00000141979	12909
ensg:ENSG00000055609	12869
ensg:ENSG00000185049	12869
ensg:ENSG00000185811	12867
ensg:ENSG00000079102	12864
ensg:ENSG00000204371	12842
ensg:ENSG00000147050	12806
ensg:ENSG00000104447	12803
ensg:ENSG00000109787	12774
ensg:ENSG00000131759	12725
ensg:ENSG00000181449	12689
ensg:ENSG00000133392	12625
ensg:ENSG00000105698	12615
ensg:ENSG00000189403	12563
ensg:ENSG00000172059	12552
ensg:ENSG00000102554	12549
ensg:ENSG00000101972	12533
ensg:ENSG00000165632	12519
ensg:ENSG00000077782	12505
ensg:ENSG00000154832	12498
ensg:ENSG00000148516	12450
ensg:ENSG00000028277	12448
ensg:ENSG00000175387	12440
ensg:ENSG00000184634	12303
ensg:ENSG00000143390	12244
ensg:ENSG00000118526	12232
ensg:ENSG00000171988	12217
ensg:ENSG00000171862	12205
ensg:ENSG00000187079	12193
ensg:ENSG00000171208	12176
ensg:ENSG00000162521	12169
ensg:ENSG00000083307	12141
ensg:ENSG00000164916	12095
ensg:ENSG00000101057	12088
ensg:ENSG00000070495	12043
ensg:ENSG00000101158	12030
ensg:ENSG00000163435	12005
ensg:ENSG00000143624	11981
ensg:ENSG00000025770	11974
ensg:ENSG00000073282	11970
ensg:ENSG00000198728	11965
ensg:ENSG00000125651	11950
ensg:ENSG00000175727	11903
ensg:ENSG00000081189	11882
ensg:ENSG00000168556	11874
ensg:ENSG00000171456	11868
ensg:ENSG00000141002	11805
ensg:ENSG00000111704	11756
ensg:ENSG00000012048	11743
ensg:ENSG00000134058	11724
ensg:ENSG00000172534	11714
ensg:ENSG00000147180	11612
ensg:ENSG00000006468	11602
ensg:ENSG00000166349	11599
ensg:ENSG00000186350	11584
ensg:ENSG00000094916	11574
ensg:ENSG00000141052	11543
ensg:ENSG00000029363	11529
ensg:ENSG00000147140	11527
ensg:ENSG00000221869	11514
ensg:ENSG00000204227	11445
ensg:ENSG00000117707	11427
ensg:ENSG00000111424	11423
ensg:ENSG00000165732	11413
ensg:ENSG00000113716	11406
ensg:ENSG00000101076	11402
ensg:ENSG00000123908	11377
ensg:ENSG00000141448	11362
ensg:ENSG00000158055	11343
ensg:ENSG00000171223	11342
ensg:ENSG00000164107	11325
ensg:ENSG00000025434	11306
ensg:ENSG00000138785	11303
ensg:ENSG00000205250	11298
ensg:ENSG00000105722	11289
ensg:ENSG00000225489	11289
ensg:ENSG00000198026	11277
ensg:ENSG00000077097	11264
ensg:ENSG00000072364	11259
ensg:ENSG00000124782	11240
ensg:ENSG00000131196	11176
ensg:ENSG00000132510	11143
ensg:ENSG00000162702	11026
ensg:ENSG00000096070	10989
ensg:ENSG00000136504	10944
ensg:ENSG00000108468	10919
ensg:ENSG00000113368	10903
ensg:ENSG00000109320	10892
ensg:ENSG00000163602	10889
ensg:ENSG00000185122	10883
ensg:ENSG00000169057	10807
ensg:ENSG00000115207	10714
ensg:ENSG00000263001	10671
ensg:ENSG00000101040	10647
ensg:ENSG00000197576	10610
ensg:ENSG00000145604	10583
ensg:ENSG00000136937	10498
ensg:ENSG00000131051	10441
ensg:ENSG00000178691	10432
ensg:ENSG00000172493	10402
ensg:ENSG00000092199	10350
ensg:ENSG00000168395	10349
ensg:ENSG00000086589	10313
ensg:ENSG00000112242	10252
ensg:ENSG00000146247	10184
ensg:ENSG00000082258	10180
ensg:ENSG00000137947	10138
ensg:ENSG00000198131	10136
ensg:ENSG00000163508	10125
ensg:ENSG00000008083	10114
ensg:ENSG00000272333	10113
ensg:ENSG00000119866	10095
ensg:ENSG00000139842	10047
ensg:ENSG00000118418	10039
ensg:ENSG00000116044	10016
ensg:ENSG00000126561	9992
ensg:ENSG00000213999	9971
ensg:ENSG00000178913	9951
ensg:ENSG00000268083	9886
ensg:ENSG00000164631	9875
ensg:ENSG00000057935	9846
ensg:ENSG00000164151	9827
ensg:ENSG00000092847	9801
ensg:ENSG00000143365	9744
ensg:ENSG00000085224	9718
ensg:ENSG00000100425	9674
ensg:ENSG00000139687	9656
ensg:ENSG00000165119	9634
ensg:ENSG00000185022	9629
ensg:ENSG00000166477	9625
ensg:ENSG00000100219	9609
ensg:ENSG00000119203	9596
ensg:ENSG00000133895	9593
ensg:ENSG00000169564	9540
ensg:ENSG00000001167	9478
ensg:ENSG00000198176	9360
ensg:ENSG00000161405	9342
ensg:ENSG00000106006	9296
ensg:ENSG00000069399	9292
ensg:ENSG00000204531	9279
ensg:ENSG00000126457	9264
ensg:ENSG00000177565	9246
ensg:ENSG00000164749	9141
ensg:ENSG00000172789	9004
ensg:ENSG00000164105	8994
ensg:ENSG00000126746	8990
ensg:ENSG00000123685	8897
ensg:ENSG00000168283	8861
ensg:ENSG00000033800	8779
ensg:ENSG00000164104	8748
ensg:ENSG00000146670	8730
ensg:ENSG00000123268	8705
ensg:ENSG00000143476	8681
