tf	count_target
ensg:ENSG00000129514	17862
ensg:ENSG00000172216	17772
ensg:ENSG00000141867	17702
ensg:ENSG00000091831	17691
ensg:ENSG00000169083	17691
ensg:ENSG00000100393	17590
ensg:ENSG00000136997	17589
ensg:ENSG00000159216	17434
ensg:ENSG00000102974	17422
ensg:ENSG00000125952	17381
ensg:ENSG00000127616	17373
ensg:ENSG00000066336	17364
ensg:ENSG00000125798	17168
ensg:ENSG00000157554	17148
ensg:ENSG00000164754	17139
ensg:ENSG00000130726	16858
ensg:ENSG00000108654	16789
ensg:ENSG00000072501	16583
ensg:ENSG00000113580	16433
ensg:ENSG00000168769	16379
ensg:ENSG00000173039	16378
ensg:ENSG00000173473	16240
ensg:ENSG00000177606	16220
ensg:ENSG00000118260	16205
ensg:ENSG00000185591	16146
ensg:ENSG00000130522	16114
ensg:ENSG00000285827	16049
ensg:ENSG00000004487	16048
ensg:ENSG00000168610	16003
ensg:ENSG00000106462	16000
ensg:ENSG00000125686	15976
ensg:ENSG00000100811	15953
ensg:ENSG00000087510	15952
ensg:ENSG00000117139	15940
ensg:ENSG00000102145	15921
ensg:ENSG00000162772	15792
ensg:ENSG00000179348	15789
ensg:ENSG00000183337	15789
ensg:ENSG00000100644	15784
ensg:ENSG00000141510	15777
ensg:ENSG00000188612	15741
ensg:ENSG00000121060	15696
ensg:ENSG00000134323	15656
ensg:ENSG00000134954	15630
ensg:ENSG00000140262	15615
ensg:ENSG00000107485	15606
ensg:ENSG00000084093	15510
ensg:ENSG00000197905	15451
ensg:ENSG00000082175	15445
ensg:ENSG00000196591	15430
ensg:ENSG00000204256	15428
ensg:ENSG00000151702	15410
ensg:ENSG00000114861	15387
ensg:ENSG00000198911	15302
ensg:ENSG00000089094	15284
ensg:ENSG00000174720	15249
ensg:ENSG00000119707	15223
ensg:ENSG00000120690	15211
ensg:ENSG00000116478	15149
ensg:ENSG00000185551	15134
ensg:ENSG00000169375	15102
ensg:ENSG00000115415	15055
ensg:ENSG00000245848	15052
ensg:ENSG00000124813	14958
ensg:ENSG00000162367	14951
ensg:ENSG00000166478	14939
ensg:ENSG00000005339	14844
ensg:ENSG00000071564	14805
ensg:ENSG00000019549	14792
ensg:ENSG00000196363	14759
ensg:ENSG00000132964	14714
ensg:ENSG00000067369	14700
ensg:ENSG00000103495	14697
ensg:ENSG00000108055	14664
ensg:ENSG00000169016	14639
ensg:ENSG00000120738	14589
ensg:ENSG00000168214	14571
ensg:ENSG00000136807	14559
ensg:ENSG00000154727	14544
ensg:ENSG00000100888	14535
ensg:ENSG00000112592	14533
ensg:ENSG00000112658	14478
ensg:ENSG00000170345	14470
ensg:ENSG00000158773	14462
ensg:ENSG00000117713	14460
ensg:ENSG00000143437	14380
ensg:ENSG00000178951	14372
ensg:ENSG00000101412	14340
ensg:ENSG00000196235	14305
ensg:ENSG00000141380	14266
ensg:ENSG00000005889	14261
ensg:ENSG00000118007	14237
ensg:ENSG00000119950	14228
ensg:ENSG00000116560	14221
ensg:ENSG00000186834	14221
ensg:ENSG00000187098	14193
ensg:ENSG00000122565	14148
ensg:ENSG00000090447	14129
ensg:ENSG00000124092	14110
ensg:ENSG00000066135	14093
ensg:ENSG00000159184	14087
ensg:ENSG00000166164	14025
ensg:ENSG00000166949	13925
ensg:ENSG00000105610	13893
ensg:ENSG00000111276	13854
ensg:ENSG00000089902	13849
ensg:ENSG00000143190	13831
ensg:ENSG00000141905	13794
ensg:ENSG00000028310	13762
ensg:ENSG00000137265	13699
ensg:ENSG00000123405	13696
ensg:ENSG00000137693	13665
ensg:ENSG00000160741	13659
ensg:ENSG00000067955	13658
ensg:ENSG00000169925	13644
ensg:ENSG00000117222	13623
ensg:ENSG00000178764	13619
ensg:ENSG00000136574	13617
ensg:ENSG00000187555	13607
ensg:ENSG00000115289	13584
ensg:ENSG00000167548	13559
ensg:ENSG00000150347	13539
ensg:ENSG00000148737	13494
ensg:ENSG00000113916	13451
ensg:ENSG00000075426	13440
ensg:ENSG00000125347	13427
ensg:ENSG00000173120	13388
ensg:ENSG00000165588	13379
ensg:ENSG00000121481	13346
ensg:ENSG00000173805	13306
ensg:ENSG00000071655	13223
ensg:ENSG00000189079	13187
ensg:ENSG00000100320	13158
ensg:ENSG00000148400	13154
ensg:ENSG00000102978	13119
ensg:ENSG00000204356	13116
ensg:ENSG00000172943	12881
ensg:ENSG00000020633	12841
ensg:ENSG00000118513	12818
ensg:ENSG00000122779	12802
ensg:ENSG00000165804	12757
ensg:ENSG00000133884	12745
ensg:ENSG00000183770	12702
ensg:ENSG00000136352	12676
ensg:ENSG00000196092	12670
ensg:ENSG00000167081	12667
ensg:ENSG00000136931	12655
ensg:ENSG00000099956	12641
ensg:ENSG00000073861	12626
ensg:ENSG00000136826	12590
ensg:ENSG00000196628	12582
ensg:ENSG00000198793	12582
ensg:ENSG00000119547	12570
ensg:ENSG00000079246	12559
ensg:ENSG00000164683	12519
ensg:ENSG00000134107	12505
ensg:ENSG00000166446	12498
ensg:ENSG00000114115	12467
ensg:ENSG00000162992	12467
ensg:ENSG00000106546	12466
ensg:ENSG00000204859	12463
ensg:ENSG00000279765	12453
ensg:ENSG00000164190	12451
ensg:ENSG00000133794	12412
ensg:ENSG00000175097	12366
ensg:ENSG00000185049	12350
ensg:ENSG00000102054	12325
ensg:ENSG00000141979	12294
ensg:ENSG00000130844	12276
ensg:ENSG00000064102	12269
ensg:ENSG00000143889	12238
ensg:ENSG00000185630	12230
ensg:ENSG00000204371	12210
ensg:ENSG00000106459	12190
ensg:ENSG00000160789	12114
ensg:ENSG00000109787	12110
ensg:ENSG00000129152	12083
ensg:ENSG00000140464	12064
ensg:ENSG00000006194	12033
ensg:ENSG00000157933	12020
ensg:ENSG00000165632	12001
ensg:ENSG00000115966	11992
ensg:ENSG00000077782	11991
ensg:ENSG00000079102	11962
ensg:ENSG00000175592	11959
ensg:ENSG00000154832	11946
ensg:ENSG00000081059	11922
